strategy,average_mean_estimate,mean_bias,empirical_sd,mean_absolute_error,rmse,likely_to_try_bias_pp,likely_to_try_rmse_pp,digital_engagement_bias
Simple random,4.8344634375,-0.0004065624999995654,0.07111967888043533,0.05649221250000003,0.07103188717268115,-0.0461249999999986,1.2518919182581218,0.031181687499989633
Proportional stratified,4.8341578125,-0.0007121874999995592,0.05918775528639306,0.047374537499999994,0.05911801426754369,-0.0073749999999985615,1.1463451160100084,0.0019441874999897913
Quota,5.019428125,0.18455812500000043,0.05669950711206626,0.18455812500000043,0.1930505077045905,1.9941875000000016,2.3166272493649047,4.949770124999989
Convenience,5.5288059375,0.6939359375000004,0.0593668698752136,0.6939359375000004,0.6964644280433051,8.3360625,8.448637349448727,13.515211062499988
